filename,true_folder,true_label,composite_score,laplacian,tenengrad,grade,decision,pred_label,correct,time_ms
source_001_good.jpg,good,usable,90.12,3030.2506,64.1951,Good,accepted,usable,YES,53.06
source_002_good.jpg,good,usable,92.06,3071.0859,67.3005,Good,accepted,usable,YES,14.75
source_003_good.jpg,good,usable,90.39,3097.9345,64.6173,Good,accepted,usable,YES,21.28
source_004_good.jpg,good,usable,87.93,2787.9527,60.691,Good,accepted,usable,YES,19.73
source_005_good.jpg,good,usable,91.12,3216.0593,65.7947,Good,accepted,usable,YES,17.86
source_006_good.jpg,good,usable,89.65,2924.7293,63.432,Good,accepted,usable,YES,16.67
source_007_good.jpg,good,usable,88.25,2759.4642,61.1996,Good,accepted,usable,YES,19.91
source_008_good.jpg,good,usable,91.21,3187.2487,65.9318,Good,accepted,usable,YES,16.39
source_009_good.jpg,good,usable,89.44,2922.0379,63.1066,Good,accepted,usable,YES,20.19
source_010_good.jpg,good,usable,88.29,2774.4748,61.2617,Good,accepted,usable,YES,15.51
source_011_good.jpg,good,usable,90.14,2974.5755,64.2244,Good,accepted,usable,YES,18.65
source_012_good.jpg,good,usable,90.1,3089.4797,64.1531,Good,accepted,usable,YES,17.85
source_013_good.jpg,good,usable,87.93,2764.1772,60.6811,Good,accepted,usable,YES,17.63
source_014_good.jpg,good,usable,92.0,3221.6092,67.1953,Good,accepted,usable,YES,17.94
source_015_good.jpg,good,usable,90.77,3184.9849,65.2367,Good,accepted,usable,YES,15.72
source_016_good.jpg,good,usable,89.61,2875.9312,63.3835,Good,accepted,usable,YES,17.26
source_017_good.jpg,good,usable,89.05,2932.6099,62.4828,Good,accepted,usable,YES,17.14
source_018_good.jpg,good,usable,89.7,3036.8917,63.5158,Good,accepted,usable,YES,10.08
source_019_good.jpg,good,usable,90.05,3074.3683,64.0811,Good,accepted,usable,YES,18.85
source_020_good.jpg,good,usable,89.46,2889.0942,63.1347,Good,accepted,usable,YES,15.28
source_021_good.jpg,good,usable,87.12,2726.7672,59.3931,Good,accepted,usable,YES,22.78
source_022_good.jpg,good,usable,90.34,3104.1139,64.5493,Good,accepted,usable,YES,20.85
source_023_good.jpg,good,usable,89.29,2899.0168,62.8715,Good,accepted,usable,YES,17.4
source_024_good.jpg,good,usable,89.43,2926.6493,63.0902,Good,accepted,usable,YES,17.86
source_025_good.jpg,good,usable,89.75,3035.9436,63.603,Good,accepted,usable,YES,17.14
source_001_mild.jpg,mild,usable,51.24,246.107,42.6117,Mild,accepted,usable,YES,12.89
source_002_mild.jpg,mild,usable,54.12,263.5532,44.4245,Mild,accepted,usable,YES,9.51
source_003_mild.jpg,mild,usable,52.11,249.5433,43.4431,Mild,accepted,usable,YES,28.9
source_004_mild.jpg,mild,usable,48.88,234.7616,40.6449,Moderate,rejected,unusable,NO,3.64
source_005_mild.jpg,mild,usable,51.78,248.1217,43.1503,Mild,accepted,usable,YES,18.53
source_006_mild.jpg,mild,usable,51.15,247.3088,42.2654,Mild,accepted,usable,YES,26.65
source_007_mild.jpg,mild,usable,47.9,225.4725,40.5564,Moderate,rejected,unusable,NO,21.81
source_008_mild.jpg,mild,usable,51.89,247.9807,43.3533,Mild,accepted,usable,YES,14.78
source_009_mild.jpg,mild,usable,51.04,244.9423,42.476,Mild,accepted,usable,YES,17.55
source_010_mild.jpg,mild,usable,49.57,239.4843,40.9926,Moderate,rejected,unusable,NO,15.59
source_011_mild.jpg,mild,usable,51.36,248.6157,42.3992,Mild,accepted,usable,YES,18.92
source_012_mild.jpg,mild,usable,51.23,245.5415,42.6826,Mild,accepted,usable,YES,14.57
source_013_mild.jpg,mild,usable,47.53,223.5888,40.276,Moderate,rejected,unusable,NO,14.7
source_014_mild.jpg,mild,usable,52.84,252.6963,44.1083,Mild,accepted,usable,YES,17.63
source_015_mild.jpg,mild,usable,52.05,250.5718,43.1844,Mild,accepted,usable,YES,16.2
source_016_mild.jpg,mild,usable,51.46,248.3594,42.6057,Mild,accepted,usable,YES,15.17
source_017_mild.jpg,mild,usable,49.64,238.3004,41.3022,Moderate,rejected,unusable,NO,7.53
source_018_mild.jpg,mild,usable,50.4,239.5475,42.3153,Mild,accepted,usable,YES,16.39
source_019_mild.jpg,mild,usable,51.31,247.4108,42.5138,Mild,accepted,usable,YES,18.05
source_020_mild.jpg,mild,usable,50.59,243.6292,41.964,Mild,accepted,usable,YES,11.38
source_021_mild.jpg,mild,usable,46.27,215.6441,39.535,Moderate,rejected,unusable,NO,17.67
source_022_mild.jpg,mild,usable,51.59,249.5225,42.6161,Mild,accepted,usable,YES,13.85
source_023_mild.jpg,mild,usable,50.21,242.4779,41.5411,Mild,accepted,usable,YES,18.74
source_024_mild.jpg,mild,usable,51.17,246.3145,42.4656,Mild,accepted,usable,YES,13.06
source_025_mild.jpg,mild,usable,50.61,243.7649,41.9803,Mild,accepted,usable,YES,20.0
source_001_moderate.jpg,moderate,unusable,13.44,4.8114,20.7304,Severe,rejected,unusable,YES,12.9
source_002_moderate.jpg,moderate,unusable,14.04,5.3324,21.6118,Severe,rejected,unusable,YES,21.45
source_003_moderate.jpg,moderate,unusable,13.66,5.2156,21.0151,Severe,rejected,unusable,YES,11.76
source_004_moderate.jpg,moderate,unusable,13.01,4.7022,20.0713,Severe,rejected,unusable,YES,20.77
source_005_moderate.jpg,moderate,unusable,13.74,5.1939,21.1589,Severe,rejected,unusable,YES,12.44
source_006_moderate.jpg,moderate,unusable,13.27,4.8747,20.446,Severe,rejected,unusable,YES,20.68
source_007_moderate.jpg,moderate,unusable,12.63,4.3669,19.5052,Severe,rejected,unusable,YES,12.87
source_008_moderate.jpg,moderate,unusable,13.71,4.9483,21.1388,Severe,rejected,unusable,YES,34.31
source_009_moderate.jpg,moderate,unusable,13.49,5.2147,20.7547,Severe,rejected,unusable,YES,21.81
source_010_moderate.jpg,moderate,unusable,12.87,4.6141,19.8557,Severe,rejected,unusable,YES,23.47
source_011_moderate.jpg,moderate,unusable,13.4,4.9863,20.6453,Severe,rejected,unusable,YES,36.72
source_012_moderate.jpg,moderate,unusable,13.63,5.1869,20.9716,Severe,rejected,unusable,YES,21.52
source_013_moderate.jpg,moderate,unusable,12.61,4.4225,19.4698,Severe,rejected,unusable,YES,18.39
source_014_moderate.jpg,moderate,unusable,13.94,5.0609,21.4973,Severe,rejected,unusable,YES,16.23
source_015_moderate.jpg,moderate,unusable,13.8,5.2986,21.24,Severe,rejected,unusable,YES,21.45
source_016_moderate.jpg,moderate,unusable,13.4,5.0914,20.6221,Severe,rejected,unusable,YES,14.16
source_017_moderate.jpg,moderate,unusable,13.36,5.0295,20.5743,Severe,rejected,unusable,YES,25.27
source_018_moderate.jpg,moderate,unusable,13.35,4.8579,20.5899,Severe,rejected,unusable,YES,21.46
source_019_moderate.jpg,moderate,unusable,13.54,5.1198,20.8382,Severe,rejected,unusable,YES,19.61
source_020_moderate.jpg,moderate,unusable,13.31,4.773,20.5365,Severe,rejected,unusable,YES,18.01
source_021_moderate.jpg,moderate,unusable,12.39,4.4019,19.113,Severe,rejected,unusable,YES,14.82
source_022_moderate.jpg,moderate,unusable,13.53,5.1323,20.8268,Severe,rejected,unusable,YES,25.24
source_023_moderate.jpg,moderate,unusable,13.32,4.8147,20.5427,Severe,rejected,unusable,YES,23.06
source_024_moderate.jpg,moderate,unusable,13.2,5.0304,20.321,Severe,rejected,unusable,YES,24.24
source_025_moderate.jpg,moderate,unusable,13.46,5.0291,20.7374,Severe,rejected,unusable,YES,21.68
source_001_severe.jpg,severe,unusable,7.84,1.6515,12.2766,Severe,rejected,unusable,YES,21.38
source_002_severe.jpg,severe,unusable,8.24,1.6715,12.9226,Severe,rejected,unusable,YES,20.15
source_003_severe.jpg,severe,unusable,7.85,1.5919,12.313,Severe,rejected,unusable,YES,24.85
source_004_severe.jpg,severe,unusable,7.65,1.4594,12.0035,Severe,rejected,unusable,YES,19.74
source_005_severe.jpg,severe,unusable,7.85,1.5681,12.3075,Severe,rejected,unusable,YES,19.3
source_006_severe.jpg,severe,unusable,7.82,1.4863,12.2665,Severe,rejected,unusable,YES,14.89
source_007_severe.jpg,severe,unusable,7.22,1.4678,11.3125,Severe,rejected,unusable,YES,16.3
source_008_severe.jpg,severe,unusable,7.79,1.634,12.1976,Severe,rejected,unusable,YES,14.47
source_009_severe.jpg,severe,unusable,7.89,1.6286,12.3663,Severe,rejected,unusable,YES,17.33
source_010_severe.jpg,severe,unusable,7.63,1.4515,11.9692,Severe,rejected,unusable,YES,20.79
source_011_severe.jpg,severe,unusable,7.91,1.5916,12.3935,Severe,rejected,unusable,YES,15.51
source_012_severe.jpg,severe,unusable,7.78,1.5473,12.1942,Severe,rejected,unusable,YES,10.02
source_013_severe.jpg,severe,unusable,7.2,1.4923,11.2802,Severe,rejected,unusable,YES,19.9
source_014_severe.jpg,severe,unusable,7.97,1.632,12.488,Severe,rejected,unusable,YES,10.82
source_015_severe.jpg,severe,unusable,7.87,1.5797,12.3468,Severe,rejected,unusable,YES,18.68
source_016_severe.jpg,severe,unusable,7.86,1.6298,12.3184,Severe,rejected,unusable,YES,21.31
source_017_severe.jpg,severe,unusable,7.81,1.6324,12.2276,Severe,rejected,unusable,YES,16.99
source_018_severe.jpg,severe,unusable,7.67,1.5843,12.0165,Severe,rejected,unusable,YES,17.26
source_019_severe.jpg,severe,unusable,7.81,1.5561,12.2416,Severe,rejected,unusable,YES,18.57
source_020_severe.jpg,severe,unusable,7.84,1.5684,12.2952,Severe,rejected,unusable,YES,6.52
source_021_severe.jpg,severe,unusable,7.05,1.4381,11.0463,Severe,rejected,unusable,YES,19.61
source_022_severe.jpg,severe,unusable,7.78,1.5776,12.195,Severe,rejected,unusable,YES,20.98
source_023_severe.jpg,severe,unusable,7.88,1.6048,12.3534,Severe,rejected,unusable,YES,16.65
source_024_severe.jpg,severe,unusable,7.77,1.6283,12.1688,Severe,rejected,unusable,YES,11.23
source_025_severe.jpg,severe,unusable,7.78,1.4988,12.2004,Severe,rejected,unusable,YES,16.71
